bufferRadius_max,col_index,row_index,dem_mean,risknum_max
,10,24,4.43363342407777,
,10,25,4.39812135096029,
,10,26,4.36404755022772,
,10,27,4.30552545565236,
4,10,28,4.28721435618495,
4,10,29,4.2281207143561,
4,10,30,4.19998254586614,
,10,31,4.19852567636596,
,10,32,4.16703041010271,
,10,33,4.11047049807973,
,10,34,4.09265454693956,
,10,35,4.03169878717403,
,10,36,4.00085340723254,
,10,37,3.96360516657291,
,10,38,3.91531397409935,
,10,39,3.89951348116341,
,10,40,3.8895004402318,
2.5,10,41,3.85084535702108,
7.5,10,42,3.79917052444257,
2.5,10,43,3.78462777857685,
,10,44,3.70280225282478,
,10,45,3.70000004768372,
,10,46,3.63660656536954,
,10,47,3.60589617014258,
,10,48,3.59107299030226,
2.5,10,49,3.56207416760194,
2.5,10,50,3.52298069830242,
,10,51,3.49250983118716,
,10,52,3.45767465848529,
,10,53,3.40000009536743,
,10,54,3.3917698753602,
,10,55,3.31431669394209,
,10,56,3.29999995231628,
,10,57,3.28611463541184,
,10,58,3.24561516222537,
7.5,10,59,3.20953945443247,
7.5,10,60,3.18245944548084,
7.5,10,61,3.13130841129939,
2.5,10,62,3.09856981563385,
2.5,10,63,3.06181300096968,
,10,64,3.00609291487324,
,10,65,2.98515575911834,
,10,66,2.92960868174978,
,10,67,2.90112200376291,
,10,68,2.90000009536743,
,10,69,2.86901942718012,
,10,70,2.80833190191464,
,10,71,2.79326499048186,
,10,72,2.72946402585593,
,10,73,2.70125881894393,
,10,74,2.6627242129302,
,10,75,2.61712408566393,
,10,76,2.60093845357534,
,10,77,2.58990200218054,
,10,78,2.55103268619497,
,10,79,2.49867908934363,
,11,0,5.26289148138746,
,11,1,5.21486697809713,
,11,2,5.19933267754561,
,11,3,5.18995619782411,
,11,4,5.15133684139087,
,11,5,5.09976398105478,
,11,6,5.08348829238199,
,11,7,5.00607629814662,
,11,8,5,
,11,9,4.93892057324893,
,11,10,4.90631043468665,
2.5,11,11,4.88898169797267,
2.5,11,12,4.85907122692831,
2.5,11,13,4.82169538620598,
,11,14,4.79297931062388,
,11,15,4.75993365006892,
,11,16,4.69999980926514,
,11,17,4.69509887153448,
,11,18,4.61330957176096,
,11,19,4.6004063110495,
,11,20,4.58221823457073,
,11,21,4.54279842511967,
,11,22,4.50970442483687,
,11,23,4.48280500784561,
,11,24,4.43369199998395,
,11,25,4.39817739901331,
,11,26,4.36417305199654,
,11,27,4.30561687358328,
,11,28,4.28754926253307,
,11,29,4.22985413489421,
4,11,30,4.20109417273389,
4,11,31,4.19999980926514,
,11,32,4.16924121122088,
,11,33,4.11083934203632,
,11,34,4.09274863930676,
,11,35,4.03182439828913,
,11,36,4.000906671503,
,11,37,3.96366661753961,
,11,38,3.91538904776187,
,11,39,3.90000009536743,
,11,40,3.89113859008193,
,11,41,3.85252613742851,
7.5,11,42,3.79917729879435,
2.5,11,43,3.78475333079889,
2.5,11,44,3.70280641012734,
2.5,11,45,3.70000004768372,
2.5,11,46,3.63670598386886,
,11,47,3.6059330804142,
,11,48,3.59900464524112,
2.5,11,49,3.57479905397166,
,11,50,3.53000229229899,
,11,51,3.49255465353051,
,11,52,3.45776616491288,
,11,53,3.40000009536743,
,11,54,3.39178194000996,
,11,55,3.31444095806326,
,11,56,3.29999995231628,
,11,57,3.29858324282325,
,11,58,3.25696567374315,
,11,59,3.21229241389693,
,11,60,3.18254244258206,
7.5,11,61,3.13136193882741,
7.5,11,62,3.098630855205,
7.5,11,63,3.06193848251539,
2.5,11,64,3.00617924715655,
2.5,11,65,2.99608368349991,
,11,66,2.97577203872766,
,11,67,2.93137134926059,
,11,68,2.90000009536743,
,11,69,2.86914049849387,
,11,70,2.80834731447726,
,11,71,2.79336422810955,
,11,72,2.7295895892082,
,11,73,2.70130702646958,
,11,74,2.69056680100942,
,11,75,2.6588621325944,
,11,76,2.61898688221567,
